name,from,to,reason
今日新增VIP5.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/今日新增VIP5.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/今日新增VIP5.png,同批推广/社群/体验官素材归入蜂乐玛
今日新增体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/今日新增体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/今日新增体验.png,同批推广/社群/体验官素材归入蜂乐玛
今日新增关注.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/今日新增关注.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/今日新增关注.png,同批推广/社群/体验官素材归入蜂乐玛
今日新增运营商.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/今日新增运营商.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/今日新增运营商.png,同批推广/社群/体验官素材归入蜂乐玛
体验官-个人中心 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/体验官-个人中心 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/体验官-个人中心 (1).png,同批推广/社群/体验官素材归入蜂乐玛
体验官-个人中心.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/体验官-个人中心.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员推广/体验官-个人中心.png,同批推广/社群/体验官素材归入蜂乐玛
其他体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/其他体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/其他体验.png,同批推广/社群/体验官素材归入蜂乐玛
分享至群 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/分享至群 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/分享至群 (1).png,同批推广/社群/体验官素材归入蜂乐玛
分享至群.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/分享至群.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员推广/分享至群.png,同批推广/社群/体验官素材归入蜂乐玛
分销店预估-体验官.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/分销店预估-体验官.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/分销店预估-体验官.png,同批推广/社群/体验官素材归入蜂乐玛
分销店预估-尊享官.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/分销店预估-尊享官.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/分销店预估-尊享官.png,同批推广/社群/体验官素材归入蜂乐玛
升级体验官 copy.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/升级体验官 copy.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/升级体验官 copy.png,同批推广/社群/体验官素材归入蜂乐玛
升级体验官.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/升级体验官.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/升级体验官.png,同批推广/社群/体验官素材归入蜂乐玛
尊享官-点击运营商提示.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/尊享官-点击运营商提示.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/尊享官-点击运营商提示.png,同批推广/社群/体验官素材归入蜂乐玛
微信管理  新建微信号 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信管理  新建微信号 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信管理  新建微信号 副本 副本.png,同批推广/社群/体验官素材归入蜂乐玛
微信管理  新建微信号 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信管理  新建微信号 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信管理  新建微信号 副本.png,同批推广/社群/体验官素材归入蜂乐玛
微信管理 副本 副本 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信管理 副本 副本 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信管理 副本 副本 (1).png,同批推广/社群/体验官素材归入蜂乐玛
微信管理 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信管理 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信管理 副本 副本.png,同批推广/社群/体验官素材归入蜂乐玛
微信管理 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信管理 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信管理 副本.png,同批推广/社群/体验官素材归入蜂乐玛
我的推广中心 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/我的推广中心 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/我的推广中心 (1).png,同批推广/社群/体验官素材归入蜂乐玛
我的推广中心-标签筛选 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/我的推广中心-标签筛选 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/我的推广中心-标签筛选 (1).png,同批推广/社群/体验官素材归入蜂乐玛
我的推广中心-标签筛选.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/我的推广中心-标签筛选.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员推广/我的推广中心-标签筛选.png,同批推广/社群/体验官素材归入蜂乐玛
我的推广中心.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/我的推广中心.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员推广/我的推广中心.png,同批推广/社群/体验官素材归入蜂乐玛
收益-日报时间选择.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/收益-日报时间选择.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/收益-日报时间选择.png,同批推广/社群/体验官素材归入蜂乐玛
收益-日报（体验官）.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/收益-日报（体验官）.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/收益-日报（体验官）.png,同批推广/社群/体验官素材归入蜂乐玛
日报收益.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/日报收益.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/日报收益.png,同批推广/社群/体验官素材归入蜂乐玛
直属体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/直属体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/直属体验.png,同批推广/社群/体验官素材归入蜂乐玛
直属游客-详细信息.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/直属游客-详细信息.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/直属游客-详细信息.png,同批推广/社群/体验官素材归入蜂乐玛
解冻更多收益.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/解冻更多收益.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/解冻更多收益.png,同批推广/社群/体验官素材归入蜂乐玛
邀请入群 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/邀请入群 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/邀请入群 (1).png,同批推广/社群/体验官素材归入蜂乐玛
邀请入群.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/邀请入群.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员推广/邀请入群.png,同批推广/社群/体验官素材归入蜂乐玛
间接体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/间接体验.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/间接体验.png,同批推广/社群/体验官素材归入蜂乐玛
间接游客-详细信息.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/间接游客-详细信息.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/间接游客-详细信息.png,同批推广/社群/体验官素材归入蜂乐玛
PC端-蜂乐玛后台.zip,/Users/binbinchen/Downloads/已整理_2026-06-30/07_压缩包_待确认/项目压缩包/PC端-蜂乐玛后台.zip,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/项目文档与素材包/PC端-蜂乐玛后台.zip,文件名命中蜂乐玛/DHA/心脑血管
小程序-蜂乐玛金服-改版app页面.zip,/Users/binbinchen/Downloads/已整理_2026-06-30/07_压缩包_待确认/项目压缩包/小程序-蜂乐玛金服-改版app页面.zip,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/项目文档与素材包/小程序-蜂乐玛金服-改版app页面.zip,文件名命中蜂乐玛/DHA/心脑血管
蜂乐玛品牌升级项目进度表 (1).xlsx,/Users/binbinchen/Downloads/已整理_2026-06-30/03_办公文档/Excel表格/蜂乐玛品牌升级项目进度表 (1).xlsx,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/项目文档与素材包/蜂乐玛品牌升级项目进度表 (1).xlsx,文件名命中蜂乐玛/DHA/心脑血管
群营销工具小程序,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/销售资料/群营销工具小程序,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/群管理_社群模块/群营销工具小程序,群营销小程序归入蜂乐玛社群模块
群营销工具小程序(1).zip,/Users/binbinchen/Downloads/已整理_2026-06-30/07_压缩包_待确认/项目压缩包/群营销工具小程序(1).zip,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/群管理_社群模块/群营销工具小程序(1).zip,群营销小程序压缩包归入蜂乐玛社群模块
客户所在群聊筛选数据导出.xlsx,/Users/binbinchen/Downloads/已整理_2026-06-30/03_办公文档/Excel表格/客户所在群聊筛选数据导出.xlsx,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/项目文档与素材包/客户所在群聊筛选数据导出.xlsx,群聊数据表归入蜂乐玛项目文档
